127.0.0.1 - - [02/Dec/2014:15:10:38 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:49 +0200] "GET /site HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:50 +0200] "GET /site/ HTTP/1.1" 404 424
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:50 +0200] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:54 +0200] "GET /essentials/ HTTP/1.1" 200 6686
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:54 +0200] "GET /essentials/components/angular-ui-tree/dist/angular-ui-tree.min.css?v=1.02.05 HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:54 +0200] "GET /essentials/components/angular/angular-sanitize.min.js?v=1.02.05 HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/chosen/chosen.jquery.js?v=1.02.05 HTTP/1.1" 200 42443
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/underscore/underscore.js?v=1.02.05 HTTP/1.1" 200 43568
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/bootstrap/dist/js/bootstrap.js?v=1.02.05 HTTP/1.1" 200 55244
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/lib/angular-route.min.js?v=1.02.05 HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/lib/ui-bootstrap-tpls.min.js?v=1.02.05 HTTP/1.1" 200 64329
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/lib/angular-ui-router.js?v=1.02.05 HTTP/1.1" 200 19546
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/lib/angular-animate.js?v=1.02.05 HTTP/1.1" 200 11242
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/css/main.css?v=1.02.05 HTTP/1.1" 200 316658
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/hippo-plugins/dist/js/main.js?v=1.02.05 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/angular-ui-tree/dist/angular-ui-tree.js?v=1.02.05 HTTP/1.1" 200 37613
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/Essentials.js?v=1.02.05 HTTP/1.1" 200 4566
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/routes.js?v=1.02.05 HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/app.js?v=1.02.05 HTTP/1.1" 200 17483
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/hippo-theme/dist/js/main.js?v=1.02.05 HTTP/1.1" 200 26505
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/jquery/jquery.js?v=1.02.05 HTTP/1.1" 200 273199
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/controllers.js?v=1.02.05 HTTP/1.1" 200 7910
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/directives.js?v=1.02.05 HTTP/1.1" 200 21411
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/js/loader.js HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:55 +0200] "GET /essentials/components/angular/angular.js?v=1.02.05 HTTP/1.1" 200 745991
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:56 +0200] "GET /essentials/rest/plugins/modules HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:56 +0200] "GET /essentials/feature/selectionPlugin/selectionPlugin.js?_=1417525855273 HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:56 +0200] "GET /essentials/feature/taxonomyPlugin/taxonomyPlugin.js?_=1417525855274 HTTP/1.1" 200 5520
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:56 +0200] "GET /essentials/tool/galleryPlugin/galleryPlugin.js?_=1417525855275 HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:56 +0200] "GET /essentials/feature/relatedDocumentsPlugin/relatedDocumentsPlugin.js?_=1417525855276 HTTP/1.1" 200 2634
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/tool/restServices/restServices.js?_=1417525855277 HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/tool/beanwriter/beanwriter.js?_=1417525855278 HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/feature/blogPlugin/blogPlugin.js?_=1417525855279 HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/feature/documentWizardPlugin/documentWizardPlugin.js?_=1417525855280 HTTP/1.1" 200 3691
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/feature/contentBlocks/contentBlocks.js?_=1417525855281 HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/feature/taggingPlugin/taggingPlugin.js?_=1417525855282 HTTP/1.1" 200 3359
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/directives/essentials-notifier.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/rest/plugins/settings HTTP/1.1" 200 3207
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/rest/plugins/controllers/ HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [02/Dec/2014:15:10:57 +0200] "GET /essentials/rest/plugins/status/package/ HTTP/1.1" 200 54
